"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"

"Abu Simbel","","22.3467","31.5951","Egypt","EG","EGY","","","","0"
"Sharm el-Sheikh","","27.9158","34.3299","Egypt","EG","EGY","","","","1"
"Dahab","","28.5091","34.5136","Egypt","EG","EGY","","","","2"
"Nuweiba","","29.0333","34.6667","Egypt","EG","EGY","","","","3"
"Taba Heights","","29.3883","34.8097","Egypt","EG","EGY","","","","4"
"Taba","","29.4925","34.8949","Egypt","EG","EGY","","","","5"

"Tala Bay Aqaba","","29.3862","34.9688","Jordan","JO","JOR","","","","7"
"Wadi Rum","","29.5726","35.4186","Jordan","JO","JOR","","","","8"
"Wadi Musa","","30.3216","35.4801","Jordan","JO","JOR","","","","9"
"Wadi AlMujib","","31.4594","35.5706","Jordan","JO","JOR","","","","10"

"Aspromonte National Park","","38.1666","16.0000","Italy","IT","ITA","","","","11"
"Mount Etna","","37.7508","14.9938","Italy","IT","ITA","","","","12"
"Vesuvius National Park","","40.8223","14.4289","Italy","IT","ITA","","","","13"
"Scilla","","38.2520","15.7184","Italy","IT","ITA","","","","14"
"Gambarie","","38.1676","15.8355","Italy","IT","ITA","","","","15"

"Santa Maria da Feira","","40.9264","-8.5478","Portugal","PT","PRT","","","","16"
"Serra da Estrela Natural Park","","40.3333","-7.6333","Portugal","PT","PRT","","","","17"
"Peneda-Gerês National Park","","41.7303","-8.1616","Portugal","PT","PRT","","","","18"

"Zákány","","46.2545","16.9488","Hungary","HU","HUN","","","","19"
